task,accuracy_delta
1,-0.1111111119389534
2,-0.009999990463256836
3,-0.012345671653747559
4,0.012345671653747559
5,0.027777791023254395
6,0.011834323406219482
7,0.0
8,0.00309598445892334
9,-0.02734839916229248
10,-0.1648351550102234
11,0.009999990463256836
12,0.0
13,0.0
14,0.0
15,0.01555556058883667
16,0.03555554151535034
17,0.04000002145767212
18,0.043083906173706055
19,0.028571486473083496
20,0.009999990463256836
21,-0.06172835826873779
22,0.0
23,0.0
24,0.029999971389770508
25,0.0
26,0.01038062572479248
27,-0.09803920984268188
28,-0.04938274621963501
29,0.0250626802444458
30,0.029999971389770508
31,-0.034722208976745605
32,0.06999999284744263
33,-0.020408183336257935
34,0.06680160760879517
35,0.02076125144958496
36,0.08173078298568726
37,-0.5064935088157654
38,0.025641024112701416
39,0.078125
40,-0.07500004768371582
41,0.03333330154418945
42,0.1066666841506958
43,-0.5199999623000622
44,0.009999990463256836
45,0.06508874893188477
46,-0.43209874629974365
47,0.05750000476837158
48,0.06999999284744263
49,-0.019999980926513672
50,0.026666641235351562
51,-0.1344444453716278
52,0.1111111119389534
53,0.049382686614990234
54,0.03305786848068237
55,0.0972222089767456
56,0.15972226858139038
57,0.015625
58,0.009999990463256836
59,0.029411792755126953
60,-0.03409093618392944
61,-0.1199999451637268
62,0.030000030994415283
63,-0.019607841968536377
64,-0.1066666841506958
65,-0.005952358245849609
66,-0.06666666269302368
67,-0.16999995708465576
68,0.02366858720779419
69,-0.7830578237771988
70,0.04487180709838867
71,0.009259223937988281
72,-0.009090900421142578
73,-0.09243696928024292
74,0.0
75,0.3199999928474426
76,0.26446282863616943
77,-0.020202040672302246
78,0.020833313465118408
79,0.0
80,-0.2399999499320984
81,0.06000000238418579
82,0.0329861044883728
83,0.0
84,0.0
85,0.029999971389770508
86,0.007575809955596924
87,-0.08641970157623291
88,-0.02222222089767456
89,0.009999990463256836
90,0.009999990463256836
91,-0.7375000566244125
92,-0.06666666269302368
93,0.027272701263427734
94,0.09259259700775146
95,0.012345671653747559
96,-0.18518519401550293
97,0.3333333432674408
98,-0.003367006778717041
99,-0.006944417953491211
100,0.014005601406097412
101,0.10204082727432251
102,0.007936537265777588
103,-0.04285711050033569
104,0.0
105,-0.07653060555458069
106,-0.2666666805744171
107,0.0
108,0.08000004291534424
109,-0.111111119389534
110,-0.010000050067901611
111,-0.04040402173995972
112,0.0313725471496582
113,0.03591686487197876
114,0.1300000548362732
115,0.023923397064208984
116,0.0
117,-0.03305786848068237
118,0.020000040531158447
119,-0.20888888835906982
120,0.03125
121,-0.5108359158039093
122,-0.5625
123,-0.07999998331069946
124,-0.19921875
125,-0.2380952537059784
126,0.0317460298538208
127,0.04000002145767212
128,0.0
129,0.08163267374038696
130,0.07407402992248535
131,0.0
132,0.0
133,0.020000040531158447
134,0.00641024112701416
135,0.06000000238418579
136,0.024691343307495117
137,0.0
138,0.0
139,-0.0234375
140,0.039999961853027344
141,-0.1111111119389534
142,0.019607841968536377
143,-0.2849999964237213
144,0.011764705181121826
145,-0.011834323406219482
146,0.009999990463256836
147,-0.004437863826751709
148,0.039999961853027344
149,0.07555556297302246
150,-0.039999961853027344
151,-0.02232140302658081
152,0.050420165061950684
153,-0.041666626930236816
154,0.0
155,-0.019999980926513672
156,0.0045351386070251465
157,0.027777791023254395
158,0.0
159,0.009999990463256836
160,0.005540132522583008
161,0.039999961853027344
162,-0.09111112356185913
163,0.03555554151535034
164,0.08000004291534424
165,-0.1274999976158142
166,0.019999980926513672
167,0.0625
168,0.019999980926513672
169,-0.07555556297302246
170,0.019298255443572998
171,0.28999996185302734
172,0.04591834545135498
