task,solved,final_pixel_accuracy,n_hidden_channels,temperature,steps,trials,learning_rate,mask_prob_low,mask_prob_high
1,False,0.3333333432674408,20,5,10,128,0.002,0.0,0.75
2,True,1.0,20,5,10,128,0.002,0.0,0.75
3,False,0.604938268661499,20,5,10,128,0.002,0.0,0.75
4,False,0.9382716417312622,20,5,10,128,0.002,0.0,0.75
5,False,0.8333333134651184,20,5,10,128,0.002,0.0,0.75
6,False,0.8757396340370178,20,5,10,128,0.002,0.0,0.75
7,False,0.6666666865348816,20,5,10,128,0.002,0.0,0.75
8,False,0.8544891476631165,20,5,10,128,0.002,0.0,0.75
9,False,0.36266347765922546,20,5,10,128,0.002,0.0,0.75
10,False,0.9725275039672852,20,5,10,128,0.002,0.0,0.75
11,False,0.8100000023841858,20,5,10,128,0.002,0.0,0.75
12,False,0.5555555820465088,20,5,10,128,0.002,0.0,0.75
13,False,0.5555555820465088,20,5,10,128,0.002,0.0,0.75
14,False,0.8799999952316284,20,5,10,128,0.002,0.0,0.75
15,False,0.3266666829586029,20,5,10,128,0.002,0.0,0.75
16,False,0.9422222375869751,20,5,10,128,0.002,0.0,0.75
17,False,0.8499999642372131,20,5,10,128,0.002,0.0,0.75
18,False,0.843537449836731,20,5,10,128,0.002,0.0,0.75
19,False,0.8666666746139526,20,5,10,128,0.002,0.0,0.75
20,False,0.7599999904632568,20,5,10,128,0.002,0.0,0.75
21,False,0.9629629850387573,20,5,10,128,0.002,0.0,0.75
22,False,0.8799999952316284,20,5,10,128,0.002,0.0,0.75
23,False,0.9236111044883728,20,5,10,128,0.002,0.0,0.75
24,False,0.8700000047683716,20,5,10,128,0.002,0.0,0.75
25,False,0.9000000357627869,20,5,10,128,0.002,0.0,0.75
26,False,0.5570934414863586,20,5,10,128,0.002,0.0,0.75
27,True,1.0,20,5,10,128,0.002,0.0,0.75
28,False,0.9259259104728699,20,5,10,128,0.002,0.0,0.75
29,False,0.8546366095542908,20,5,10,128,0.002,0.0,0.75
30,False,0.699999988079071,20,5,10,128,0.002,0.0,0.75
31,False,0.819444477558136,20,5,10,128,0.002,0.0,0.75
32,False,0.8399999737739563,20,5,10,128,0.002,0.0,0.75
33,False,0.16326530277729034,20,5,10,128,0.002,0.0,0.75
34,False,0.908906877040863,20,5,10,128,0.002,0.0,0.75
35,False,0.9653979539871216,20,5,10,128,0.002,0.0,0.75
36,False,0.6201923489570618,20,5,10,128,0.002,0.0,0.75
37,False,0.5974025726318359,20,5,10,128,0.002,0.0,0.75
38,False,0.444444477558136,20,5,10,128,0.002,0.0,0.75
39,False,0.953125,20,5,10,128,0.002,0.0,0.75
40,False,0.887499988079071,20,5,10,128,0.002,0.0,0.75
41,False,0.9533333778381348,20,5,10,128,0.002,0.0,0.75
42,False,0.9200000166893005,20,5,10,128,0.002,0.0,0.75
43,False,0.85999995470047,20,5,10,128,0.002,0.0,0.75
44,False,0.8999999761581421,20,5,10,128,0.002,0.0,0.75
45,False,0.9053254723548889,20,5,10,128,0.002,0.0,0.75
46,False,0.9876543283462524,20,5,10,128,0.002,0.0,0.75
47,False,0.7724999785423279,20,5,10,128,0.002,0.0,0.75
48,False,0.8199999928474426,20,5,10,128,0.002,0.0,0.75
49,False,0.8700000047683716,20,5,10,128,0.002,0.0,0.75
50,False,0.7200000286102295,20,5,10,128,0.002,0.0,0.75
51,False,0.742222249507904,20,5,10,128,0.002,0.0,0.75
52,False,0.3333333432674408,20,5,10,128,0.002,0.0,0.75
53,False,0.8395061492919922,20,5,10,128,0.002,0.0,0.75
54,True,0.9999999403953552,20,5,10,128,0.002,0.0,0.75
55,False,0.6666666865348816,20,5,10,128,0.002,0.0,0.75
56,False,0.9166666865348816,20,5,10,128,0.002,0.0,0.75
57,False,0.89453125,20,5,10,128,0.002,0.0,0.75
58,False,0.9699999690055847,20,5,10,128,0.002,0.0,0.75
59,False,0.7941176295280457,20,5,10,128,0.002,0.0,0.75
60,False,0.9090909361839294,20,5,10,128,0.002,0.0,0.75
61,False,0.699999988079071,20,5,10,128,0.002,0.0,0.75
62,False,0.9799999594688416,20,5,10,128,0.002,0.0,0.75
63,False,0.9215686321258545,20,5,10,128,0.002,0.0,0.75
64,False,0.9133333563804626,20,5,10,128,0.002,0.0,0.75
65,False,0.9226190447807312,20,5,10,128,0.002,0.0,0.75
66,True,1.0,20,5,10,128,0.002,0.0,0.75
67,False,0.7400000095367432,20,5,10,128,0.002,0.0,0.75
68,False,0.7988165616989136,20,5,10,128,0.002,0.0,0.75
69,False,0.12396693974733353,20,5,10,128,0.002,0.0,0.75
70,False,0.9615384936332703,20,5,10,128,0.002,0.0,0.75
71,False,0.9320987462997437,20,5,10,128,0.002,0.0,0.75
72,False,0.9181817770004272,20,5,10,128,0.002,0.0,0.75
73,True,1.0,20,5,10,128,0.002,0.0,0.75
74,False,0.5438596606254578,20,5,10,128,0.002,0.0,0.75
75,False,0.8399999737739563,20,5,10,128,0.002,0.0,0.75
76,False,0.9669421315193176,20,5,10,128,0.002,0.0,0.75
77,False,0.7676767706871033,20,5,10,128,0.002,0.0,0.75
78,False,0.9513888955116272,20,5,10,128,0.002,0.0,0.75
79,False,0.8148148059844971,20,5,10,128,0.002,0.0,0.75
80,True,1.0,20,5,10,128,0.002,0.0,0.75
81,False,0.75,20,5,10,128,0.002,0.0,0.75
82,False,0.890625,20,5,10,128,0.002,0.0,0.75
83,False,0.1111111119389534,20,5,10,128,0.002,0.0,0.75
84,False,0.9399999976158142,20,5,10,128,0.002,0.0,0.75
85,False,0.8100000023841858,20,5,10,128,0.002,0.0,0.75
86,False,0.5454545617103577,20,5,10,128,0.002,0.0,0.75
87,False,0.8765432238578796,20,5,10,128,0.002,0.0,0.75
88,False,0.7288889288902283,20,5,10,128,0.002,0.0,0.75
89,False,0.7999999523162842,20,5,10,128,0.002,0.0,0.75
90,False,0.9199999570846558,20,5,10,128,0.002,0.0,0.75
91,False,0.8458333611488342,20,5,10,128,0.002,0.0,0.75
92,False,0.9333333969116211,20,5,10,128,0.002,0.0,0.75
93,False,0.8999999761581421,20,5,10,128,0.002,0.0,0.75
94,False,0.8703703880310059,20,5,10,128,0.002,0.0,0.75
95,True,1.0,20,5,10,128,0.002,0.0,0.75
96,True,1.0,20,5,10,128,0.002,0.0,0.75
97,False,0.0,20,5,10,128,0.002,0.0,0.75
98,False,0.8148148059844971,20,5,10,128,0.002,0.0,0.75
99,False,0.9305555820465088,20,5,10,128,0.002,0.0,0.75
100,False,0.7478991746902466,20,5,10,128,0.002,0.0,0.75
101,False,0.918367326259613,20,5,10,128,0.002,0.0,0.75
102,False,0.888888955116272,20,5,10,128,0.002,0.0,0.75
103,False,0.6785714030265808,20,5,10,128,0.002,0.0,0.75
104,False,0.8199999928474426,20,5,10,128,0.002,0.0,0.75
105,False,0.0,20,5,10,128,0.002,0.0,0.75
106,False,0.18333333730697632,20,5,10,128,0.002,0.0,0.75
107,True,1.0,20,5,10,128,0.002,0.0,0.75
108,False,0.8799999952316284,20,5,10,128,0.002,0.0,0.75
109,False,0.2222222238779068,20,5,10,128,0.002,0.0,0.75
110,False,0.9199999570846558,20,5,10,128,0.002,0.0,0.75
111,False,0.9898989796638489,20,5,10,128,0.002,0.0,0.75
112,False,0.8627451658248901,20,5,10,128,0.002,0.0,0.75
113,False,0.8374291062355042,20,5,10,128,0.002,0.0,0.75
114,True,1.0,20,5,10,128,0.002,0.0,0.75
115,False,0.9569377899169922,20,5,10,128,0.002,0.0,0.75
116,True,1.0,20,5,10,128,0.002,0.0,0.75
117,False,0.7024793028831482,20,5,10,128,0.002,0.0,0.75
118,False,0.85999995470047,20,5,10,128,0.002,0.0,0.75
119,False,0.9600000381469727,20,5,10,128,0.002,0.0,0.75
120,False,0.9166666865348816,20,5,10,128,0.002,0.0,0.75
121,False,0.383900910615921,20,5,10,128,0.002,0.0,0.75
122,True,1.0,20,5,10,128,0.002,0.0,0.75
123,True,1.0,20,5,10,128,0.002,0.0,0.75
